P07713	P07713	1692958
P23255	P20227	8178153
P14003	P16371	9371806 17898168 19805071
Q01069	Q01070	9371806
P20227	Q27272	7545910
P09775	Q01068	9371806
P10083	Q01070	9371806
Q27272	P49847	16895980
P20227	P51123	8170939 rtd:8464492 8464492
P47825	P51123	8464492 rtd:8464492 8327460 16895980 19541607
P20227	Q24325	8178153
P20227	P49847	7545910 16895980
P49905	P20227	7545910
P49905	P47825	7545910
P04637	Q27272	7809597
P47825	P08047	8278363
P10090	P12428	8144619
P03254	P47825	7565781
P13677		9003779
P28678		9010208
	P07181	9010208
Q07291	P11420	9371806
P16371	Q07291	9371806
Q01068	Q01068	9371806
Q01068	Q01071	9371806
Q01069	P10083	9371806
Q01069	P11420	9371806
Q01070	P10084	9371806
P09775	Q01070	9371806
Q01070	P11420	9371806
P16371	Q01070	9371806
P10084	P13097	9371806
P09775	P13097	9371806
P11420	P13097	9371806
P13097	P16371	9371806
Q01069	Q01069	9371806
P13096	Q01069	9371806
Q01069	Q07291	9371806
Q01069	Q01071	9371806
Q01069	P48987	9371806
Q01070	Q01070	9371806
Q01070	P13096	9371806
Q01070	Q07291	9371806
Q01071	Q01070	9371806
P13097	Q01069	9371806
P13097	Q01070	9371806
P13096	P13097	9371806
Q01071	P13097	9371806
P13097	Q07291	9371806
P13097	P48987	9371806
P13096	P13096	9371806
Q01071	P13096	9371806
Q07291	Q01071	9371806
Q01068	Q01069	9371806
Q01070	Q01068	9371806
P13096	Q01068	9371806
Q01068	P48987	9371806
Q01071	Q01071	9371806
P16371	Q01069	9371806
P11420	Q64279	7791788
P10084	Q01069	9371806
P19538	P23647	9244297
P10083	P13097	9371806
P13096	Q07291	9371806
P10083	P18491	9371806
P51123	Q24325	8178153
P21675	Q24325	8178153
Q01068	P10084	9371806
P11420	P13096	9371806
	P13217	9003779
Q01069	P09775	9371806
P19793	P34021	7644522
P34021	P20153	7644522
P49869	P20153	7644522
P20153	P49870	7644522
	P20153	7644522
P49700	P34021	7644522
P49869	P49700	7644522
P49869	P19793	7644522
P31266	P07207	8749394
Q01705	P28159	8749394
P07207	P28159	8749394 17535912 15710747 27404588
P25028	P25028	9418866
P23572	P61024	7809159
P23573	P61024	7809159
P07207	O02194	10077672
Q27387	Q27387	8491197
P08928	P08928	8776884
		14605208
Q9W5R8		14605208
		14605208
		14605208
P14734		14605208
		14605208
	Q9VAU9	14605208
	Q9VAU9	14605208
		14605208
Q24564		14605208
		14605208
		14605208
		14605208
		14605208
O18404		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P52295		14605208
		14605208
		14605208
		14605208
		14605208
	P23023	14605208
P39768		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q8IN81		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
O77150		14605208
P06603		14605208
	Q9VA73	14605208
		14605208
P14734		14605208
		14605208
Q9VD05		14605208
Q961G6		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	P11455	14605208
		14605208
		14605208
	O16797	14605208
		14605208
	P22807	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q24564	14605208
		14605208
		14605208
P14734		14605208
Q8INW0		14605208
		14605208
		14605208
		14605208
		14605208
	Q9W219	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P14734		14605208
Q9VAN0	P14734	14605208
P14734	P08182	14605208
P14734		14605208
P14734		14605208
P14734		14605208
Q01644	P14734	14605208
P14734	Q01642	14605208
	P14734	14605208
P14734		14605208
P14734		14605208
