Q8XE87|Q4VAK2	THIL|ITGAM
Q8X8Y6|P07947	GLND|YES1
Q8X6Y0|Q96NT4	THIE|PPM1K
P62625|Q9BSC8	ISPH|SIN3B
Q8X5S5|Q52LZ6	NRFF|EGF
Q8XE87|Q9NZE4	THIL|EXOC1
Q8X8Y1|P04196	DXR|HRG
P62625|Q9BST0	ISPH|CHAMP1
P62625|Q9UDG2	ISPH|CALR
P63285|Q6IB60	CLPB|PSMA6
P62625|Q92650	ISPH|ADAM10
P0A6Z0|Q53XT4	DNAK|HSF1
P0A6Z0|Q96TE5	DNAK|CD2
A0A0H3JH37|Q9UDG5	GLTB|TXN
Q8X8Y1|Q9UM06	DXR|SEC31A
P69492|Q9UHW5	CCME|GPN3
P0A6Z0|Q9UHD1	DNAK|CHORDC1
Q8X8Y1|Q9Y4K4	DXR|MAP4K5
P0A6Z0|Q16499	DNAK|ITGB3
A0A0H3JH37|Q96H59	GLTB|TNK2
Q46903|P05121	QUED|SERPINE1
Q8XE87|Q9UQ92	THIL|ITSN1
Q46903|Q9UIC3	QUED|NCK2
P0A6Z0|Q9NXY5	DNAK|SARM1
P62625|Q9UIU9	ISPH|CPE
Q8XE76|Q9H1A8	DXS|POLR2J2
Q46903|Q9NQT2	QUED|PECAM1
P62625|Q9UHD1	ISPH|CHORDC1
Q46903|Q5TCL6	QUED|STX11
Q8XE87|Q9P2Y6	THIL|CPB2
A0A0H3JH37|Q9UC32	GLTB|THBD
Q8XE76|Q9UMT8	DXS|MDM2
A0A0H3JH37|Q706C1	GLTB|TGFBR1
A0A0H3JH37|Q9UII1	GLTB|ZNF274
Q8X7Y4|Q9GZS1	ISPD|POLR1E
Q46903|Q9UJ69	QUED|TOLLIP
Q8XE87|Q8WV25	THIL|SEC24C
P24236|Q9UG30	NUDB|SERPINA5
Q8XE76|Q99878	DXS|H2AC14
A0A0H3JM80|Q5BKT2	CCMF|SNRPE
P62618|Q9UD26	ISPF|JAK1
Q46903|Q9UPE3	QUED|NRG1
P0A6Z0|Q9P060	DNAK|AHSA1
P0A6Z0|P05121	DNAK|SERPINE1
Q46903|Q96BV9	QUED|RBBP4
Q8XE75|O43396	ISPA|TXNL1
P0AES7|A0A3B3ISY8	GYRB|CIB1
A0A0H3JH37|Q9UH35	GLTB|TGM2
Q8XDU4|Q9GZS1	BASR|POLR1E
Q8XE87|Q92767	THIL|HMMR
P0A6Z0|Q5FVF0	DNAK|YBX1
P0A6Z0|Q6FGN3	DNAK|SDC4
Q8X6Y0|Q9Y6Q0	THIE|JAG2
P0AGB5|Q9NW59	RPOH|POLR3B
P77032|Q8NDC7	BARA|ARNT
Q8XE87|P11233	THIL|RALA
Q8X9L0|Q9Y361	FTSH|RUVBL2
Q8XE58|E9PI54	CCMA|RAD51
P32168|P78315	HSLU|SH3BP2
P62618|Q2M1L9	ISPF|MMP12
Q8XA14|Q9UDL4	RSMA|STAT2
A0A0H3JH37|Q9BWK7	GLTB|KAT5
Q8XDU4|Q92794	BASR|KAT6A
P24236|P46940	NUDB|IQGAP1
Q8X5S5|Q9UJZ0	NRFF|ALB
Q46903|P49356	QUED|FNTB
Q8X6Y0|O60884	THIE|DNAJA2
P62625|Q9Y4X2	ISPH|TREX1
