A5A613	P45551
P27127	P30015
Q46904	P76173
P0AAN9	P77213
P0ACF8	P0AAW9
P0AG63	P33931
P16691	P39297
P09162	Q47158
P63020	P08622
P0AC23	P0AF90
P77596	P0A7I7
P77402	P76474
P37626	P45527
P0A884	P0AGE0
P39161	P75897
P22525	P0A8L5
P77714	P69741
P78061	P76561
P0A9S5	P0A850
P0A717	P21865
P30852	P0A7E9
P71244	P75777
P0A6C8	P00895
P30844	P46888
P0AEC3	P0A9F3
P25553	P0AE37
P37666	P0A7G6
P42640	P76041
P0AE74	P39410
P33920	P23830
P0ABC0	P75672
P31471	P0ADD5
P39338	P76100
P37340	P75957
P0A9J0	P33221
P0A828	P00562
P0AAD4	P0AFV0
P76041	P50466
P0ACN2	P15031
P0A717	P0A8B5
P77615	Q6BF16
P31120	P0A8N3
P75915	P0ADE8
P15070	P0C066
P06282	P63340
P46141	P40710
P37751	P0ADM6
P07658	P75792
P37615	P33012
P75804	P0AE12
P77379	P23485
P76473	P63264
P75748	P76010
P26646	P31663
P39187	P77301
P08395	P09155
P77374	P28722
P45508	P76204
P32684	P0AEE5
P0A996	P42593
P0AB40	P38051
P39279	P64488
P37653	P09162
P21365	P26649
P0A6Y8	P77455
P63264	P23872
P52139	P33229
P75678	Q47536
P76220	P77425
P0AGD3	P0AC53
P0ADX7	P75801
P0A6U3	P31473
P75791	P03813
P13482	P64616
P33232	P0AEX9
P09053	P52644
P27127	P64445
Q9XB42	P76219
P00936	P64559
P76055	P0A944
P10423	P25741
P0AFB1	P33371
P08178	P21645
P51025	P0C058
P32137	P28721
P0AEC5	P0A9H3
P07014	P0A717
P11447	P27305
P0AAY6	P0AG11
P0A924	P28249
P42616	P06996
P0AFP6	P37617
P0AEJ2	P46888
P31992	P15047
P33554	P0ACB0
C1P606	P64508
P09148	P39353
P37590	P0AF90
P52044	P76192
P33596	P76190
P0AEF0	P0AES0
P0AB80	P0A6A8
P75677	P76162
P37440	P61889
P0A717	P32154
P0AGI8	P31545
P64524	P0AD07
P37309	P77544
P0AE70	P32718
P23837	P75764
P06971	P67910
P75870	P00562
P0AEN4	Q46809
P36938	P0A8F0
P76180	P77172
P09163	P15028
P46136	P0AEW6
P75712	P77263
P37013	P30979
P76010	P32143
P0AAQ6	P77736
P00547	P0A8A8
P77301	P21365
P69423	P0A7M9
P77804	P0AEN1
P06972	P31057
P0AG40	P37689
P0AFT5	P0A9Q7
P09158	P0A6Q3
P46891	P67701
P24218	P75749
P75884	P0ACV8
P0ADG4	P36938
P0A840	P65870
P0AC84	P27302
P37794	P0AF59
P0ADP9	P45537
P14175	P02931
P46887	P76343
P37645	P46890
P0A7C2	P23839
P76621	P76038
P75948	P63340
P0ABN9	P68699
P0AE85	P0A9G2
P33934	P37009
P0A8Y1	P07026
P52124	P77263
P60438	P69931
P0A7R1	P0A9Q9
P37056	P26612
P0A6E1	P37330
P76053	P75952
P06709	P0AFX7
P31658	P15770
P0AG40	P0AB89
P08373	P42914
P67553	P19768
P0A9B2	Q47158
P33349	P77789
P0AEE1	P0AC02
P00959	P18811
P76501	Q47142
P0AFV4	P33634
P0ACF0	P02919
P33234	P57998
P39310	P0ACV4
P0A6T9	P08192
P0ADT8	P43671
P14377	P0AED9
P0AE67	P71241
P06996	P64467
P37639	P77538
P0AEZ1	P77218
P39405	P17443
P10443	P21513
P04983	P32705
P0A717	P75767
P0ADA5	P09980
P0A6F5	P0AFQ7
P52696	Q46871
P0AEW6	P69786
P0AB12	P0AA73
P76208	P27296
P0A850	P06136
P77288	Q47141
P77265	P75864
P0ABM1	P0ABU9
P04036	P0ADW6
P76072	P76010
P76169	P0AEF4
P0AEM6	P45759
P76251	P66899
P0A953	P0AFW0
P0ADI4	P25665
P62623	P0C0K3
P0AE70	P39834
P64634	P0ABM9
P0ABW5	P23827
P0AF56	P0A6Z1
P23886	P0A720
C1P605	P0ACY1
P0AFU4	P0AEE3
P0AA86	P55914
P77455	P31679
P0A6K1	P0A8W5
P76396	P39264
P0A742	P55140
P69908	P76041
Q46802	P0A6X3
P0A7M2	P30137
P0A7C6	P06722
P18777	P0A908
P04982	P15043
P0A8Q6	P21693
P45756	P67153
P75742	P0ACH8
P0ABI8	P0A9J8
P76482	Q47702
P06721	P76461
P0A9E5	P13482
P06715	P0AEJ2
P0A8I3	P21499
P76339	P77316
P12282	P0AC51
P0ACS9	P77379
P46837	P25741
P0ABL1	P45795
P45760	P77789
P60664	P23908
P09030	P77744
P39385	P46187
P0AG11	P46889
P0AG51	P0AAV4
P23845	P06986
P40191	P76499
P37691	Q46919
P28722	Q47149
P0ADN0	P0A6J8
P0A8S5	P69811
P76462	P32108
P0ADD2	P0AFI7
P11875	P05791
P76308	P45763
P24174	P29680
P77223	P39199
P0ADH5	P33021
P0ADX1	P09147
P0AGH3	P0AA43
P69054	P0AD61
P0ABR1	P67762
P0AAM7	P0AFI7
P28305	P08660
P0AD96	P0AD01
P0ACC1	P0AFT8
P75920	P75757
P52613	P32056
P0ACS2	P28722
P77136	P0AES9
P0AC55	P0A6F1
P76038	P0A6S7
P76044	P46855
P52140	P39286
P36645	P77182
P67701	P31443
P16691	P0AAW5
P25549	P80645
Q6BEX5	P09378
P05847	P39379
P41443	P16692
P0ACP7	P39453
P37648	P28304
P46888	P0ADV1
P0AAR0	P0ADV9
P0ABM5	P37025
P39206	P76621
P0AEU7	P77726
P37443	P22523
P64627	P39295
P0A7I0	P24174
P0AFX7	P46130
P0AFS3	P13001
P38052	P77562
P08400	P36566
P0AEP3	P0AGH8
P54901	P0AF10
P61316	P0AFG8
P0AFS5	P75864
P0A8Q3	P69811
P06616	P23003
P32129	P0A9M8
P32140	P77147
P40719	P69874
P0A6V1	P0A8T7
P30958	P0ADG7
P63224	P0A9C3
P76208	P27431
P0A7E3	P0ADM8
P06988	P0AGG0
P77366	P31069
P66948	P21499
P0AC84	P0AG84
P0A881	P39297
P04391	P24169
P69488	P76121
P0AEA5	P75831
P33228	P39453
Q47684	P42603
P65870	P22524
P77808	P15042
P43671	P75856
P37673	P36682
P0AB77	P16528
P75958	P0AD65
P0ACV2	P0AEH5
P06722	P07623
P08245	P07330
P0ACJ8	P0AG18
P28905	P64534
P0A959	P17846
P0A7G6	P25536
P09169	P63201
P64451	P30871
P25397	P0A9Y6
P76514	P0AAQ6
P33342	P43671
P24174	P0AC47
P45548	P76466
P55798	P0A9E9
P06992	P08839
P76372	P03841
P64624	P0AAD6
P0AFB5	P0A9T8
