F4HS99	Q94C77
Q8GX84	Q9SI75
P0C6E7	Q8S8M5
Q39013	Q9ZSI1
Q9LQ84	Q9C613
O65090	Q9LHK1
Q9LPC7	Q9SGI8
O23673	Q9M001
Q9FE22	Q6XBF8
Q8GWR0	O23170
Q9S834	Q9FZI8
Q94KD8	Q9XFS7
Q8L4H0	O64816
Q9SRZ0	F4I4Y6
Q9SRZ0	Q9S9U6
Q42523	Q94B35
Q9SA55	Q6R032
Q9ZVS2	Q94B35
Q8L735	Q9FVQ4
F4I765	Q9FG08
O23053	F4IXE4
P42744	O82653
O23047	P59271
P0DI10	Q9LZV9
Q9SYK6	Q9LZ90
Q9SYK7	Q9FJ00
P0C7P7	Q8GWG7
P0CB22	Q6NMH5
A8MS78	F4IUX6
Q9LND8	F4HRY1
Q8W476	Q8VZ74
Q9LNC5	F4JCV6
Q8H109	Q8VYR5
P28185	Q3E9C0
Q9LNW1	Q8L705
Q93VP4	O49595
C0LGD8	Q8RXG3
Q9LQQ2	Q8VXU9
Q42440	P56759
P92939	Q66GQ3
Q9LQQ9	Q8GYC1
Q8VZ13	Q93ZB0
Q8VZB9	P53492
Q8GYP5	F4ISL5
P24704	Q6NLF6
P24704	Q8W1X2
Q9XFR5	Q39189
Q93ZW0	Q9FJI2
Q4PT37	F4JUQ2
F4I111	Q9CAP4
Q1H568	O23116
P52420	Q8VYC4
Q07098	Q9SQH6
Q9ZT07	P48347
Q9LPZ3	F4JLK2
Q8LDI5	Q9LV37
Q9SAB3	O64380
Q84VW6	O80998
F4IC62	O65398
Q9XJ36	Q9ZVE7
F4IDS7	F4HZ82
Q9LN94	Q8W2F1
Q8W4E1	Q9LV32
Q94AJ9	Q43725
Q9LPW7	Q9ZNZ7
Q0WVH7	Q9FND0
Q9SAF2	O65569
Q56Y29	O22149
Q6NL07	Q8W471
Q9LMG8	Q84JL7
Q42510	Q8RXD5
Q9XI87	F4J5Y7
Q9M9S4	Q9LEY9
Q9M9R3	F4J2K4
P93736	Q8L788
Q8RXF1	Q9LTT3
Q8VYI4	Q9FLH2
Q8LFH7	Q8VWI7
Q9FV53	Q9SMV7
Q8VYZ5	Q93YS6
Q9LMR3	Q9ZQI7
Q8H1Q4	F4KCN6
Q9C5X8	O23051
Q93YN1	Q9LIK1
Q8LCN1	Q9ZU95
Q9FZ55	Q9CA67
Q9SHG6	O80734
Q9FPS9	C0SUT9
Q9LN16	Q9FH09
Q9LQI9	Q96255
Q9LDU5	Q9XGZ2
Q6NLG3	Q9LW08
F4I901	Q9MA74
F4I933	O22773
Q944L9	Q9SL42
Q9LMT2	Q8LFC0
Q9LMT2	Q93ZN5
Q94A33	F4K1D3
Q9LM33	Q39028
Q9LE22	Q1PF17
Q9LE73	Q9LMJ4
Q84M92	Q8L3Z8
Q9FZ82	O24466
Q8GXS8	Q94CI6
Q9M9V4	B1WCA4
Q9LN59	Q9FX43
Q67Z55	Q9SAH9
Q8L4R0	Q7Y0S0
Q8W493	Q9M039
Q38919	F4KDI1
F4HSR6	Q9SK22
F4HSR6	O49543
P42699	Q9LSC1
F4HUK8	O04848
Q9LM92	Q9LP24
Q9LM92	Q9M2B0
Q42547	Q9ZVF6
Q42547	Q9SA18
Q96528	Q9SSR1
Q9LM69	Q84JS8
