Q5FC12	GO:0009986 GO:0005829 GO:0005768 GO:0009897 GO:0005887 GO:0016020 GO:0005886 GO:0043235	GO:0019955 GO:0004896 GO:0042010 GO:0019976	GO:0019221 GO:0006955 GO:0035723 GO:0038110 GO:0035771 GO:0038111 GO:0050766 GO:0007165	hsa:3561	PF09240	
P24941	GO:0015030 GO:0005813 GO:0000781 GO:0000793 GO:0097123 GO:0097124 GO:0097134 GO:0097135 GO:0000307 GO:0005737 GO:0005829 GO:0005768 GO:0005654 GO:0005634 GO:0005667 GO:0000805 GO:0000806	GO:0005524 GO:0030332 GO:0097472 GO:0004693 GO:0000287 GO:0019904 GO:0106310 GO:0004674 GO:0004712	GO:0051301 GO:0071732 GO:0090398 GO:0007099 GO:0051298 GO:0006281 GO:0006260 GO:0000082 GO:0000086 GO:0016572 GO:0051321 GO:0031571 GO:0000122 GO:0018105 GO:0008284 GO:0032298 GO:0045893 GO:0006813 GO:0006468 GO:0007265 GO:1905784 GO:0010389 GO:0010468 GO:0060968 GO:0007165	hsa:1017	PF00069	
Q9UCU1	None	None	None	None	None	
Q96GF2	GO:0005829 GO:0018444	GO:0005525 GO:0003924 GO:0003723 GO:0003747	GO:0002184 GO:0000082 GO:0000184 GO:0006479 GO:0006449 GO:0006412 GO:0006415	hsa:2935	PF00009 PF03144 PF03143	
Q9Y6V7	GO:0005654 GO:0005634	GO:0005524 GO:0016887 GO:0003723 GO:0003724	GO:0030307 GO:0044357 GO:0006364	hsa:54555	PF00270 PF00271	
Q86Y48	GO:0005737 GO:0000177 GO:0005829 GO:0000178 GO:0070062 GO:0000228 GO:0000176 GO:0005730 GO:0005654 GO:0005634	GO:0000175 GO:0035925 GO:0003723 GO:0061629	GO:0043928 GO:0000467 GO:0006955 GO:0071028 GO:0071042 GO:0071035 GO:0071038 GO:0000956 GO:0034427 GO:0030307 GO:0045944 GO:0006401 GO:0006396 GO:0016075 GO:0006364 GO:0034473 GO:0034475 GO:0034476	hsa:5393	PF01138 PF03725	
Q6P4I0	GO:0071013 GO:0005829 GO:0034709 GO:0005654 GO:0005634 GO:0034715 GO:0030532 GO:0034719 GO:0005681 GO:0005685 GO:0005689 GO:0071007 GO:0071005 GO:0005687 GO:0046540 GO:0005683	GO:0003723	GO:0000398 GO:0008380 GO:0000387	hsa:6636	PF01423	
Q9UDQ2	GO:0005737 GO:0030425 GO:0031012 GO:0005576 GO:0005615 GO:0043005 GO:0005886 GO:0110157	GO:0070325 GO:0046872 GO:0008236 GO:0070326	GO:0008306 GO:0007411 GO:0007420 GO:0007155 GO:0000904 GO:0007417 GO:0021800 GO:0016358 GO:0010001 GO:0021766 GO:0097477 GO:0021819 GO:0007626 GO:0007616 GO:0060291 GO:0050804 GO:0001764 GO:0097114 GO:0018108 GO:2000969 GO:0032793 GO:0061003 GO:2000463 GO:1902078 GO:1900273 GO:0010976 GO:0050731 GO:0014068 GO:0045860 GO:0061098 GO:0051057 GO:0090129 GO:0051968 GO:0032008 GO:0097119 GO:0035418 GO:0097120 GO:0038026 GO:0050795 GO:2000310 GO:0048265 GO:0021511 GO:0021517	hsa:5649	PF18720 PF02014	
Q53Y80	GO:0000785 GO:0005654 GO:0005634 GO:0032991 GO:0005667	GO:0008013 GO:0043425 GO:0003682 GO:0000987 GO:0001228 GO:0003700 GO:0000981 GO:0097157 GO:0034236 GO:0000978 GO:0043565 GO:1990837	GO:0097065 GO:0003180 GO:0060018 GO:0001658 GO:0060532 GO:0019933 GO:0001502 GO:0051216 GO:0001708 GO:0098609 GO:0071773 GO:0071364 GO:0071504 GO:0071347 GO:0071260 GO:0071300 GO:0071560 GO:0002062 GO:0003413 GO:0003415 GO:0006338 GO:0090103 GO:0007010 GO:0003203 GO:0031018 GO:0007173 GO:0060517 GO:0001837 GO:0060441 GO:0070371 GO:0030198 GO:0003430 GO:0001942 GO:0070384 GO:0007507 GO:0003170 GO:0003188 GO:0003179 GO:0060729 GO:0035622 GO:0032808 GO:0060174 GO:0060487 GO:0061145 GO:0019100 GO:0008584 GO:0030879 GO:0072289 GO:0061138 GO:0002009 GO:0043066 GO:1904864 GO:0070168 GO:0030502 GO:0090090 GO:0032331 GO:0030857 GO:0050680 GO:0046322 GO:0010629 GO:0002683 GO:2001054 GO:0045662 GO:0030279 GO:0045668 GO:0046533 GO:1902894 GO:0000122 GO:0045892 GO:0014032 GO:0014036 GO:0007219 GO:0030903 GO:0006334 GO:0048709 GO:0001503 GO:0030916 GO:0090190 GO:0061036 GO:0008284 GO:2000138 GO:0032332 GO:1902732 GO:0030858 GO:0010634 GO:0050679 GO:1901203 GO:0010628 GO:0090184 GO:2000020 GO:0002053 GO:2000741 GO:0014068 GO:0045732 GO:0001934 GO:0045944 GO:0045893 GO:0030850 GO:0043491 GO:0034504 GO:0065003 GO:0042981 GO:0061046 GO:0030155 GO:0010564 GO:0042127 GO:0060784 GO:2000794 GO:0006357 GO:0072034 GO:0070542 GO:0060041 GO:0060221 GO:0060009 GO:0060008 GO:0007165 GO:0001501 GO:0035019 GO:0007283 GO:0001894 GO:0060534 GO:0072197 GO:0072193 GO:0072190	hsa:6662	PF00505 PF12444	
Q6P2M6	GO:0005887 GO:0005886 GO:0043235	GO:0008528 GO:0017046 GO:0004999	GO:0007188 GO:0007166 GO:0007186 GO:0007187 GO:0008284	hsa:7433	PF00002 PF02793	
Q9H3I2	GO:0005737 GO:0005654 GO:0005634	GO:0051879	GO:0051607 GO:0045087	hsa:7268	PF18972	
Q9UPK7	GO:0005737 GO:0005829 GO:0030666 GO:0005789 GO:0010008 GO:0070062 GO:0005615 GO:0031315 GO:0005741 GO:0005739 GO:0043005 GO:0043025 GO:0005654 GO:0005634 GO:0005886 GO:0031982	GO:0031386 GO:0031625	GO:0097009 GO:0060613 GO:0008585 GO:0007144 GO:0021888 GO:0007141 GO:0047497 GO:0019941 GO:0048812 GO:1902255 GO:1902527 GO:0031398 GO:0016567 GO:0051881 GO:1901214 GO:0061136 GO:0072520	hsa:7314	PF00240	
Q9UC02	GO:0000785 GO:0005737 GO:0000791 GO:0001939 GO:0001940 GO:0005654 GO:0005634 GO:0032991 GO:0005672 GO:0005669 GO:0097550	GO:0017162 GO:0001046 GO:0140297 GO:0019899 GO:0140223 GO:0000978 GO:0000979 GO:0016251 GO:0001091 GO:0000995 GO:0001093 GO:0000976	GO:0006352 GO:0042789 GO:0060261 GO:0006468 GO:0051123 GO:0006366 GO:0006383 GO:0006367	hsa:6908	PF00352	
Q5T3P9	None	GO:0030246	None	None	PF00337	
Q53FB8	GO:0019815 GO:0009897 GO:0016021 GO:0045121 GO:0005771 GO:0005886	GO:0042802 GO:0004888	GO:0002250 GO:0042113 GO:0030183 GO:0042100 GO:0050853	hsa:973	PF00047 PF02189	
Q4KN36	GO:0000781 GO:0005829 GO:0005654 GO:0000786 GO:0005634	GO:0003677 GO:0046982	GO:0006334	hsa:3018	PF00125	
Q9ULG4	GO:0005813 GO:0005905 GO:0005829 GO:0070062 GO:0098793	GO:0005509 GO:0005085 GO:0060090	GO:0030154 GO:0150007 GO:0006897 GO:0016197 GO:1903861	hsa:50618	PF00168 PF12763 PF16652 PF00621 PF00018 PF07653 PF14604	
Q6ZT57	GO:0005829 GO:0005654	None	None	hsa:23243	PF00023 PF12796 PF13637	
Q96GI8	GO:0005737 GO:0005829 GO:0043231 GO:0005874 GO:0005635 GO:0005654 GO:0005634 GO:0016581	GO:0003682 GO:0042826 GO:0000978 GO:0061629 GO:0003713 GO:0003714 GO:0008270	GO:0006338 GO:0032922 GO:0006302 GO:0043153 GO:0016575 GO:0045475 GO:0000122 GO:1902499 GO:0043161 GO:0040029 GO:0010212 GO:0007165	hsa:9112	PF01426 PF01448 PF00320 PF17226 PF00249	
Q96D85	GO:0043231 GO:0016020 GO:0005730 GO:0014069 GO:0008021	GO:0005085 GO:0008289	GO:0030036 GO:0060996 GO:0120183 GO:0043547 GO:0051549 GO:0032012	hsa:9922	PF16453 PF01369	
Q9UMG5	GO:0009925 GO:0016323 GO:0030054 GO:0009986 GO:0030669 GO:0005737 GO:0031901 GO:0005789 GO:0005768 GO:0010008 GO:0005615 GO:0005925 GO:0000139 GO:0005887 GO:0097708 GO:0016020 GO:0045121 GO:0097489 GO:0031965 GO:0005634 GO:0048471 GO:0005886 GO:0032991 GO:0043235 GO:0032587 GO:0070435	GO:0051015 GO:0005524 GO:0051117 GO:0045296 GO:0003682 GO:0003690 GO:0019899 GO:0048408 GO:0005006 GO:0042802 GO:0019900 GO:0004709 GO:0019903 GO:0004712 GO:0004713 GO:0004714 GO:0004888 GO:0031625 GO:0001618	GO:0043006 GO:0007202 GO:0030154 GO:0000902 GO:0007166 GO:0098609 GO:0071230 GO:0071276 GO:0071364 GO:0071392 GO:0034614 GO:0021795 GO:0048546 GO:0001892 GO:0007173 GO:0061029 GO:0001942 GO:0007611 GO:0060571 GO:0043066 GO:1905208 GO:0042059 GO:0042177 GO:0001503 GO:0038083 GO:0018108 GO:0090263 GO:0030307 GO:0030335 GO:0008284 GO:0045737 GO:0045739 GO:0045740 GO:0050679 GO:0070374 GO:0048146 GO:1900087 GO:0033674 GO:0043406 GO:1901224 GO:0010750 GO:0033138 GO:0042327 GO:1903800 GO:0051897 GO:1900020 GO:1903078 GO:0001934 GO:0045944 GO:0045893 GO:0046777 GO:0051205 GO:0070372 GO:0046328 GO:0050999 GO:0050730 GO:0014066 GO:0070141 GO:0007435 GO:0007165 GO:0007169	hsa:1956	PF00757 PF14843 PF07714 PF01030	
Q9UCI0	GO:0072562 GO:0062023 GO:0070062 GO:0005576 GO:0005615 GO:0016020 GO:0031089	GO:0005044	GO:0007155 GO:0006968 GO:0007165	hsa:3959	PF07707 PF00530	
Q8IUR0	GO:0005829 GO:0005783 GO:0030008 GO:1990070 GO:1990071 GO:1990072	None	GO:0006888	hsa:126003	PF04051	
H3BLT4	None	None	GO:0042981 GO:0032268 GO:0052548	None	PF00653	
Q13637	GO:0005829 GO:0005769 GO:0012505 GO:0005783 GO:0042470 GO:0033162 GO:0016020 GO:0044233 GO:0005741 GO:0005739 GO:0045335 GO:0030670 GO:0005802	GO:0035650 GO:0035651 GO:0036461 GO:0005525 GO:0030742 GO:0003924	GO:0019882 GO:0035646 GO:0006886 GO:1903232 GO:0032438 GO:0007005 GO:0090382 GO:0072657 GO:0016192	hsa:10981	PF00071	
Q9H3P0	GO:0009986 GO:0005887 GO:1902937 GO:0048471 GO:0005886 GO:0008076	GO:0055131 GO:0005251 GO:0042802 GO:0005242 GO:0042803 GO:0097110 GO:0000976 GO:0031625 GO:0005249 GO:0086008 GO:1902282	GO:0060048 GO:0071466 GO:0086010 GO:0086009 GO:0086011 GO:0086013 GO:0098915 GO:1903765 GO:1901380 GO:1901381 GO:0045893 GO:0097623 GO:0055075 GO:1990573 GO:0071805 GO:0086091 GO:0003064 GO:0042391 GO:0060306 GO:1901379 GO:0060307 GO:0086005	hsa:3757	PF00027 PF00520 PF13426	
Q9UNM5	GO:0030424 GO:0005737 GO:0005856 GO:0030425 GO:0016607 GO:0005654 GO:0005634 GO:1990904	GO:0003779 GO:0005524 GO:0008092 GO:0042802 GO:0004715 GO:0004672 GO:0043621 GO:0106310 GO:0004674 GO:0004712 GO:0004713 GO:0048156 GO:0050321 GO:0003713 GO:0015631	GO:0034205 GO:0007623 GO:0043518 GO:0031115 GO:0048025 GO:0007399 GO:0036289 GO:0018105 GO:0018107 GO:0038083 GO:0018108 GO:0090312 GO:0033120 GO:0045893 GO:0046777 GO:0006468	hsa:1859	PF00069	
Q9UN83	GO:0062023 GO:0031012 GO:0005576 GO:0005615 GO:0016607	GO:0046872 GO:0004222 GO:0008237 GO:0008233 GO:0002020	GO:0022617 GO:0030198 GO:0006508 GO:0001501	hsa:9507	PF17771 PF19236 PF05986 PF01562 PF01421 PF00090	
Q6FGY7	GO:0005887 GO:0005886	GO:0004945 GO:0004930 GO:0048019	GO:0002033 GO:0001974 GO:0007420 GO:0002035 GO:0007166 GO:0035640 GO:0007186 GO:0007199 GO:0006954 GO:0035556 GO:0043537 GO:0030308 GO:0010459 GO:0051387 GO:0007263 GO:0090190 GO:2001238 GO:0072300 GO:0045429 GO:0051000 GO:0032516 GO:0045893 GO:0008217 GO:0035566 GO:0001991 GO:0042311	hsa:186	PF00001	
Q6GU45	GO:0005789 GO:0016021 GO:0016020	GO:0008488 GO:0019842	GO:0007596 GO:0006464 GO:0017187	hsa:2677	PF05090	
Q8TDK9	GO:0000785 GO:0005737 GO:0005829 GO:0016607 GO:0005654 GO:0005634	GO:0008013 GO:0003677 GO:0001228 GO:0003700 GO:0000981 GO:0140297 GO:0019899 GO:0042802 GO:1990841 GO:0000978 GO:0043565 GO:1990837	GO:0007568 GO:0008286 GO:0007095 GO:0007517 GO:0016525 GO:0008285 GO:0070317 GO:0051151 GO:0014911 GO:0045944 GO:0006357 GO:0006355 GO:0031667 GO:1990785 GO:0048863	hsa:4303	PF00250 PF16676	
Q9UPL9	GO:0005737 GO:0005829 GO:0005634	GO:0008073	GO:1902268 GO:0006596 GO:0090316 GO:0045732	hsa:4946	PF02100	
Q9BV05	GO:0005737 GO:0009898 GO:0005829 GO:0015630 GO:0072686 GO:0005654	GO:0004726 GO:0004725	GO:0000165 GO:0006470	hsa:5778	PF00102	
Q9BXP7	GO:0031225 GO:0005604 GO:0009986 GO:0005576 GO:0005615 GO:0005794 GO:0016020 GO:0031594 GO:0005634 GO:0048471 GO:0005886 GO:0045202 GO:0043083	GO:0042166 GO:0003990 GO:0001540 GO:0004104 GO:0005518 GO:0016787 GO:0043236 GO:0042803 GO:0043621 GO:0017171	GO:0006581 GO:0001507 GO:0095500 GO:0042982 GO:0007155 GO:0032223 GO:0007399 GO:0002076 GO:0120162 GO:0050714 GO:0031623 GO:0001919 GO:0060041 GO:0007416	hsa:43	PF08674 PF00135	
